document_id,local_filename,download_url,file_size_bytes,page_count,sha256,verified_date
DOC006,DOC006_NMPA_usability_engineering_guidance_2024.docx,https://www.ydcmdei.org.cn/attachment/20240531/70541a310a694c19a4de28dc696e6af1.docx,544682,65,3F7B8102EB0DDDE73634FCA5ED1A40473A6C05E89CA3CB9F5E87CC09BE16C40C,2026-07-27
DOC007,DOC007_CMDE_mobile_medical_device_guidance_2025.docx,https://www.cmde.org.cn/directory/web/cmde/images/1746596431585065407.docx,37433,18,618541C0ADA9A0F902CD236646AE12071695BBE2F8054D0E6B5378CAFFCDEC1B,2026-07-27
DOC008,DOC008_NMPA_product_technical_requirements_guidance_2022.doc,https://www.nmpa.gov.cn/directory/web/nmpa/images/1644391378985084145.doc,34816,9,466C5784ECB9D5DD6675CAC84BAFE9F0AB3FD9E2975A7D85796D1974A4A6134F,2026-07-27
DOC009,DOC009_FDA_premarket_device_software_functions_2023.pdf,https://www.fda.gov/media/153781/download,1542867,46,DEE0C15E11499682CA281120A9828180EC16710EEA3D9E272CEE5807050A704A,2026-07-27
DOC010,DOC010_FDA_medical_device_cybersecurity_2026.pdf,https://www.fda.gov/media/119933/download,1195625,64,D046FA836048933E1A8795BCF2F8224BCFA08789C2F3EF6F46AE53C2EB096C54,2026-07-27
DOC011,DOC011_FDA_OTS_software_medical_devices_2023.pdf,https://www.fda.gov/media/71794/download,537019,20,D73D361143CB06234C860B2F025367839304524780681C7D0722D25624AADBF2,2026-07-27
