document_id,title,category,source_organization,publication_date,language,file_type,source_url,local_filename,public_access,ingestion_status,notes
DOC001,医疗器械软件注册审查指导原则（2022年修订版）,software_lifecycle,国家药品监督管理局医疗器械技术审评中心,2022-03-10,Chinese,PDF,https://www.cncsdr.org/ggtz/ggzz/202203/t20220311_304189.html,DOC001_CMDE_software_guidance_2022.pdf,Yes,Downloaded,软件生命周期、验证确认和软件更新核心资料
DOC002,医疗器械网络安全注册审查指导原则（2022年修订版）,access_control_and_security,国家药品监督管理局医疗器械技术审评中心,2022-03-10,Chinese,PDF,https://www.cncsdr.org/ggtz/ggzz/202203/t20220311_304187.html,DOC002_CMDE_cybersecurity_guidance_2022.pdf,Yes,Downloaded,用于权限控制、身份鉴别和网络安全测试
DOC003,医疗器械生产质量管理规范附录 独立软件,software_lifecycle,国家药品监督管理局,2019-07-12,Chinese,PDF,https://www.nmpa.gov.cn/xxgk/ggtg/ylqxggtg/ylqxqtggtg/20190712113301132.html,DOC003_NMPA_independent_software_GMP_2019.pdf,Yes,Downloaded,独立软件研发生产维护质量管理要求
DOC004,医疗器械生产质量管理规范独立软件现场检查指导原则,software_testing,国家药品监督管理局综合司,2020-06-04,Chinese,PDF,https://www.nmpa.gov.cn/xxgk/fgwj/gzwj/gzwjylqx/20200604162801601.html,DOC004_NMPA_software_inspection_guideline_2020.pdf,Yes,Downloaded,设计开发质量控制和问题整改检查要求
DOC005,医疗器械注册质量管理体系核查指南,requirements_and_traceability,国家药品监督管理局,2022-10-10,Chinese,PDF,https://www.nmpa.gov.cn/ylqx/ylqxggtg/20221010110514148.html,DOC005_NMPA_registration_QMS_inspection_2022.pdf,Yes,Downloaded,注册质量体系和设计开发可追溯性要求
