document_id,title,category,source_organization,publication_date,language,file_type,source_url,local_filename,public_access,ingestion_status,notes,jurisdiction,knowledge_layer
DOC012,YY/T 0664—2020 医疗器械软件 软件生存周期过程｜标准索引卡,software_lifecycle_standard,国家药品监督管理局,2020-09-27,Chinese,Markdown,https://std.samr.gov.cn/hb/search/stdHBDetailed?id=BE2EF7C824E286B7E05397BE0A0A29EE,DOC012_YYT_0664_2020_lifecycle_standard_index.md,MetadataOnly,Parsed,官方元数据与知识主题索引；不是标准全文；取得合法副本后再替换,China,china_standard_index
DOC013,GB/T 42062—2022 医疗器械风险管理｜标准索引卡,risk_management_standard,国家药品监督管理局,2022-10-14,Chinese,Markdown,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=1148CB082527B776560903948B22DAB0,DOC013_GBT_42062_2022_risk_management_standard_index.md,MetadataOnly,Parsed,官方元数据与知识主题索引；不是标准全文；取得合法副本后再替换,China,china_standard_index
DOC015,医疗器械不良事件监测和再评价管理办法,postmarket_surveillance,国家市场监督管理总局与国家卫生健康委员会,2018-08-13,Chinese,PDF,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/bgt/202106/W020211127427208653527.pdf,DOC015_SAMR_medical_device_adverse_event_monitoring_2018.pdf,Yes,Parsed,补充上市后不良事件收集、报告、调查、评价、控制和再评价闭环,China,china_regulatory
DOC016,医疗器械召回管理办法,postmarket_recall,国家食品药品监督管理总局,2017-01-25,Chinese,PDF,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/bgt/202106/W020211124317305178853.pdf,DOC016_SAMR_medical_device_recall_2017.pdf,Yes,Parsed,补充缺陷调查评估、召回分级、软件更新、召回实施和效果评价,China,china_regulatory
